date,mean,median,sum,std,max,min
2000-02-01,110884.71151026394,2000.0,604986986.0,3380347.704002741,222716931.0,0.0
2000-03-01,23984.150234147575,1136.0,189498771.0,403245.29583365633,20362115.0,1.0
2000-04-01,12726.90188172043,1000.0,85219335.0,159476.73276463913,6690270.0,0.0
2000-05-01,21469.341796561144,965.0,133603714.0,759433.5305079744,58522500.0,0.0
2000-06-01,82671.71755054205,1079.5,564317144.0,1998787.8675237515,131289377.0,1.0
2000-07-01,8337.909833237492,1128.0,72498126.0,108995.96560420175,5000000.0,1.0
2000-08-01,8808.642080666463,1064.0,86703464.0,116594.98505157625,5690410.0,0.0
2000-09-01,59143.275119617225,1080.0,667491003.0,2372779.828008921,224165000.0,0.0
2000-10-01,10635.755736813486,1000.0,97795774.0,182655.03455969333,15000000.0,1.0
2000-11-01,27266.82906799083,1050.0,285538234.0,1883279.3525439368,192502852.0,0.0
2000-12-01,19925.54746688895,1031.0,215136136.0,404555.9962114177,27346204.0,0.0
2001-01-01,71359.39363662132,1660.0,1007023763.0,1701280.5196713838,137183890.0,1.0
2001-02-01,127593.51292637373,1504.0,1298008807.0,8408341.66279357,844890117.0,0.0
2001-03-01,45241.12137081248,1150.0,587455961.0,2779507.9903542683,308640665.0,0.0
2001-04-01,10606.151127049181,975.5,227735277.0,294676.60494382976,27950000.0,0.0
2001-05-01,8185.218781029836,945.0,173109192.0,171508.86419679906,17459003.0,0.0
2001-06-01,13663.005270436961,857.0,365526380.0,716839.0731613106,102600000.0,0.0
2001-07-01,6640.270257020799,840.0,189632838.0,193931.95343191727,23500763.0,0.0
2001-08-01,5468.986795750229,862.0,197151505.0,104662.6444906513,11500000.0,0.0
2001-09-01,22843.32369067241,869.0,679109170.0,1023478.4722041617,111434532.0,0.0
2001-10-01,12595.39609735023,860.0,349849722.0,687614.3754573405,80000000.0,0.0
2001-11-01,12039.244105499365,964.0,370194717.0,333410.5981051091,36863400.0,0.0
2001-12-01,5086.582123691387,1000.0,173457537.0,89615.16073853958,8176680.0,0.0
2002-01-01,21314.710370705066,1244.0,1084982702.0,858396.2088805002,159286000.0,0.0
2002-02-01,52213.00896022056,1450.0,530275319.0,1246269.185383645,99346378.0,0.0
2002-03-01,23432.164527421235,1000.0,381545935.0,614324.5874632683,47561126.0,0.0
2002-04-01,12958.96981731533,1000.0,358937546.0,547360.9618609174,82660921.0,0.0
2002-05-01,16608.749961744452,880.0,542690905.0,1492392.162819856,265360000.0,0.0
2002-06-01,5673.943757134483,889.0,183909539.0,130890.46400324628,17699468.0,0.0
2002-07-01,22688.230094676393,900.0,584721066.0,2307043.687220138,366012238.0,0.0
2002-08-01,9974.547300068352,840.0,291855254.0,558416.9630850108,80000000.0,0.0
2002-09-01,15691.904961125509,853.0,423838353.0,673348.6332188668,80000000.0,0.0
2002-10-01,11915.253646621715,900.0,346352593.0,628835.2449272092,97440000.0,0.0
2002-11-01,7135.843621763646,1000.0,241712431.0,271964.58273918636,44196970.0,0.0
2002-12-01,13559.06012441502,1058.0,475163703.0,513666.4500024092,80000000.0,0.0
2003-01-01,11340.439286854225,1330.0,497414348.0,479663.66603219946,78378840.0,0.0
2003-02-01,62430.65265392781,1978.0,441072561.0,962130.6552475495,39653746.0,0.0
2003-03-01,15002.639456169292,1087.0,263731399.0,221423.8087379362,17406926.0,0.0
2003-04-01,12307.079397699878,1000.0,311406030.0,329690.4740946487,25587947.0,0.0
2003-05-01,13538.443143812709,920.5,307647582.0,734165.4446030494,102276285.0,0.0
2003-06-01,9999.587607697882,893.0,248369757.0,552718.5714839523,84336000.0,0.0
2003-07-01,22799.67323997698,906.0,594273483.0,1336941.3808932363,122257200.0,0.0
2003-08-01,8612.908797356662,880.0,229387600.0,265500.91773972113,36469797.0,0.0
2003-09-01,9732.54958084387,950.0,210135478.0,256300.5402097139,24051503.0,0.0
2003-10-01,13798.268476165274,900.0,365005596.0,491778.1347381725,67320000.0,0.0
2003-11-01,24391.528425577646,930.0,680889516.0,1035651.3783764588,92205782.0,0.0
2003-12-01,10469.395583398591,1000.0,334235454.0,218495.0081996077,21812636.0,0.0
2004-01-01,23717.917551040417,1500.0,967714754.0,765217.9596985611,125129925.0,0.0
2004-02-01,113881.25102556011,2000.0,721779369.0,2519399.209633944,123411600.0,0.0
2004-03-01,51271.53586645247,1200.0,734054579.0,3160452.8222148437,374221013.0,0.0
2004-04-01,17991.53532672602,1000.0,535518049.0,742750.8425580589,95090809.0,0.0
2004-05-01,14897.790530374272,1044.0,316846209.0,614934.3453931134,83516400.0,0.0
2004-06-01,8988.077380009505,1000.0,226966930.0,292831.0117982252,40013536.0,0.0
2004-07-01,13817.881449657578,994.0,324844575.0,607546.336728814,73355909.0,0.0
2004-08-01,21405.226111211086,1000.0,475795366.0,1171281.8062269331,165548065.0,0.0
2004-09-01,10722.190941101153,1017.5,267968996.0,224424.65866627515,20000000.0,0.0
2004-10-01,31341.668259307393,1016.5,819960725.0,1088243.907909421,100628671.0,0.0
2004-11-01,20578.032308244587,1067.0,515911848.0,1878529.9770066063,295433199.0,0.0
2004-12-01,9346.15691931387,1156.0,298039598.0,258528.41979912893,26510859.0,0.0
2005-01-01,38456.13173558191,1610.0,1705683267.0,1990705.7906979064,289207795.0,0.0
2005-02-01,214035.74978885136,2978.0,1013673311.0,3963457.8896551635,130000000.0,0.0
2005-03-01,65310.80428832117,1532.0,1002128981.0,1994806.1194937313,144566400.0,0.0
2005-04-01,22402.067155317145,1209.0,547080882.0,632763.3507874749,75253794.0,0.0
