date,mean,median,sum,std,max,min
2000-03-29,4195.282258064516,950.0,1560645.0,18128.545176119027,0,0
2000-03-30,10879.07662835249,985.0,2839439.0,50325.83648411167,0,0
2000-03-31,11255.69867549669,1054.5,3399221.0,54135.401027692315,0,0
2000-04-01,,,0.0,,0,0
2000-04-02,,,0.0,,0,0
2000-04-03,17684.179411764704,937.5,6012621.0,138808.48913567778,0,0
2000-04-04,168459.38363171354,958.0,65867619.0,2960372.717927278,0,0
2000-04-05,3382.905027932961,863.5,1211080.0,12414.607448820068,0,0
2000-04-06,2838.270777479893,865.0,1058675.0,6746.812773818741,0,0
2000-04-07,13586.190332326283,852.0,4497029.0,136082.23105421173,0,0
2000-04-08,,,0.0,,0,0
2000-04-09,,,0.0,,0,0
2000-04-10,13908.339108910892,900.0,5618969.0,151256.6382022092,0,0
2000-04-11,8585.295857988165,954.0,2901830.0,52467.80382422462,0,0
2000-04-12,4366.225,937.5,1571841.0,17941.176239680157,0,0
2000-04-13,11618.351851851852,1050.0,3136955.0,80437.28101818475,0,0
2000-04-14,8031.51839464883,1002.0,2401424.0,25259.69986837328,0,0
2000-04-15,,,0.0,,0,0
2000-04-16,,,0.0,,0,0
2000-04-17,6485.448484848484,1108.5,2140198.0,36684.812881165606,0,0
2000-04-18,5189.1447811447815,1048.0,1541176.0,21352.919194902173,0,0
2000-04-19,3495.2084690553747,871.0,1073029.0,17810.219214391607,0,0
2000-04-20,7256.388157894737,1431.5,1102971.0,24910.63223464223,0,0
2000-04-21,,,0.0,,0,0
2000-04-22,,,0.0,,0,0
2000-04-23,,,0.0,,0,0
2000-04-24,10034.283236994219,1118.5,3471862.0,61716.214076459175,0,0
2000-04-25,4551.149206349206,1018.0,1433612.0,13931.788865640518,0,0
2000-04-26,27910.790322580644,814.5,10382814.0,396767.89943630254,0,0
2000-04-27,43025.666666666664,900.0,13294931.0,448717.2371286522,0,0
2000-04-28,14758.543806646525,1159.0,4885078.0,121857.95521372593,0,0
2000-04-29,,,0.0,,0,0
2000-04-30,,,0.0,,0,0
2000-05-01,,,0.0,,0,0
2000-05-02,67291.13468013468,1139.0,19985467.0,1019862.8197283123,0,0
2000-05-03,4701.156862745098,950.0,1198795.0,21180.763107373834,0,0
2000-05-04,4364.914414414415,1041.5,969011.0,13454.338733767088,0,0
2000-05-05,2987.326530612245,1000.0,878274.0,6878.30913376509,0,0
2000-05-06,,,0.0,,0,0
2000-05-07,,,0.0,,0,0
2000-05-08,8622.454810495627,945.0,2957502.0,44398.82974638567,0,0
2000-05-09,10363.543103448275,834.0,3606513.0,113267.85633387913,0,0
2000-05-10,7068.810631229236,817.0,2127712.0,55431.88282072438,0,0
2000-05-11,8847.062706270626,987.0,2680660.0,65337.62104904955,0,0
2000-05-12,33118.282157676345,1200.0,7981506.0,397999.1120711274,0,0
2000-05-13,,,0.0,,0,0
2000-05-14,,,0.0,,0,0
2000-05-15,10191.032258064517,1590.0,2843298.0,39410.54756261753,0,0
2000-05-16,3032.304347826087,945.0,836916.0,7295.945774243784,0,0
2000-05-17,10849.527559055117,1072.5,2755780.0,57217.58219630547,0,0
2000-05-18,1746174.987704918,1445.0,426066697.0,10210152.640627082,0,0
